episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,0,308.084,308.084,0.0,0.0,0.995,0,0,
2,0,308.084,308.084,0.0,0.0,0.990025,0,0,
3,0,308.084,308.084,0.0,0.0,0.985074875,0,0,
4,0,308.084,308.084,0.0,0.0,0.9801495006250001,0,0,
5,0,308.084,308.084,0.0,0.0,0.9752487531218751,0,0,
6,0,308.084,308.084,0.0,0.0,0.9703725093562657,0,0,
7,0,308.084,308.084,0.0,0.0,0.9655206468094844,0,0,
8,0,308.084,308.084,0.0,0.0,0.960693043575437,0,0,
9,0,308.084,308.084,0.0,0.0,0.9558895783575597,0,0,
10,0,308.084,308.084,0.0,0.0,0.9511101304657719,0,0,
11,0,308.084,308.084,0.0,0.0,0.946354579813443,0,0,
12,0,308.084,308.084,0.0,0.0,0.9416228069143757,0,0,
13,0,308.084,308.084,0.0,0.0,0.9369146928798039,0,0,
14,0,308.084,308.084,0.0,0.0,0.9322301194154049,0,0,
15,0,308.084,308.084,0.0,0.0,0.9275689688183278,0,0,
16,0,308.084,308.084,0.0,0.0,0.9229311239742362,0,0,
17,0,308.084,308.084,0.0,0.0,0.918316468354365,0,0,
18,0,308.084,308.084,0.0,0.0,0.9137248860125932,0,0,
19,0,308.084,308.084,0.0,0.0,0.9091562615825302,0,0,
20,0,308.084,308.084,0.0,0.0,0.9046104802746175,0,0,
21,0,308.084,308.084,0.0,0.0,0.9000874278732445,0,0,
22,0,308.084,308.084,0.0,0.0,0.8955869907338783,0,0,
23,0,308.084,308.084,0.0,0.0,0.8911090557802088,0,0,
24,0,308.084,308.084,0.0,0.0,0.8866535105013078,0,0,
25,0,308.084,308.084,0.0,0.0,0.8822202429488013,0,0,
26,0,308.084,308.084,0.0,0.0,0.8778091417340573,0,0,
27,0,308.084,308.084,0.0,0.0,0.8734200960253871,0,0,
28,0,308.084,308.084,0.0,0.0,0.8690529955452602,0,0,
29,0,308.084,308.084,0.0,0.0,0.8647077305675338,0,0,
30,0,308.084,308.084,0.0,0.0,0.8603841919146962,0,0,
31,0,308.084,308.084,0.0,0.0,0.8560822709551227,0,0,
32,0,308.084,308.084,0.0,0.0,0.851801859600347,0,0,
33,0,308.084,308.084,0.0,0.0,0.8475428503023453,0,0,
34,0,308.084,308.084,0.0,0.0,0.8433051360508336,0,0,
35,0,308.084,308.084,0.0,0.0,0.8390886103705794,0,0,
36,0,308.084,308.084,0.0,0.0,0.8348931673187264,0,0,
37,0,308.084,308.084,0.0,0.0,0.8307187014821328,0,0,
38,0,308.084,308.084,0.0,0.0,0.8265651079747222,0,0,
39,0,308.084,308.084,0.0,0.0,0.8224322824348486,0,0,
40,0,308.084,308.084,0.0,0.0,0.8183201210226743,0,0,
41,0,308.084,308.084,0.0,0.0,0.8142285204175609,0,0,
42,0,308.084,308.084,0.0,0.0,0.810157377815473,0,0,
43,0,308.084,308.084,0.0,0.0,0.8061065909263957,0,0,
44,0,308.084,308.084,0.0,0.0,0.8020760579717637,0,0,
45,0,308.084,308.084,0.0,0.0,0.798065677681905,0,0,
46,0,308.084,308.084,0.0,0.0,0.7940753492934954,0,0,
47,0,308.084,308.084,0.0,0.0,0.7901049725470279,0,0,
48,0,308.084,308.084,0.0,0.0,0.7861544476842928,0,0,
49,0,308.084,308.084,0.0,0.0,0.7822236754458713,0,0,
50,0,308.084,308.084,0.0,0.0,0.778312557068642,0,0,
