episode,total_reward,percent_reduction,pass_sequence
1,0.0,0.0,"AssumeGatherIndicesInBoundRewriteToCopy, test-only-algebraic-simplifier-with-onednn-enabled, while-loop-trip-count-annotator"
2,0.0,0.0,"optimize_input_output_buffer_alias, ReduceWindowToReduceAndBroadcast, result_caster"
3,0.0,0.0,"reshape-mover, hlo-memory-scheduler, AssumeGatherIndicesInBoundRewriteToCopy"
