episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,5451.132,0.0,0.0
1,2,82,test-only-algebraic-simplifier-with-onednn-enabled,0.0,5451.132,0.0,0.0
1,3,88,while-loop-trip-count-annotator,0.0,5451.132,0.0,0.0
2,1,63,optimize_input_output_buffer_alias,0.0,5451.132,0.0,0.0
2,2,1,ReduceWindowToReduceAndBroadcast,0.0,5451.132,0.0,0.0
2,3,72,result_caster,0.0,5451.132,0.0,0.0
3,1,71,reshape-mover,0.0,5451.132,0.0,0.0
3,2,50,hlo-memory-scheduler,0.0,5451.132,0.0,0.0
3,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,5451.132,0.0,0.0
