episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.995,25,30,"4,85,46,6,2,35,4,24,15,57,86,67,45,88,12,24,34,14,10,59,49,62,54,37,40,58,58,18,15,18"
2,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.990025,27,30,"81,82,49,60,70,15,28,55,89,84,57,40,45,31,76,48,66,68,63,52,81,64,88,37,48,41,8,53,16,88"
3,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.985074875,25,30,"10,79,51,34,42,50,77,13,57,21,5,38,57,68,42,38,63,39,62,58,13,69,10,85,17,43,66,45,76,24"
4,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9801495006250001,26,30,"11,26,78,39,18,24,47,53,12,61,87,63,12,2,17,9,4,49,69,86,21,43,65,27,88,39,86,72,20,2"
5,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9752487531218751,25,30,"55,51,51,57,31,8,12,78,63,17,4,10,49,37,84,10,26,61,12,58,81,84,44,84,75,21,30,46,33,73"
6,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9703725093562657,27,30,"30,31,26,81,74,87,71,10,47,49,3,74,40,62,35,33,30,13,3,79,42,1,67,55,11,20,76,9,78,19"
7,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9655206468094844,24,30,"54,14,0,54,76,88,12,36,58,0,80,65,64,0,45,66,17,9,72,72,26,32,0,81,44,12,53,19,75,74"
8,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.960693043575437,25,30,"23,88,39,66,34,0,18,56,20,74,28,38,39,67,0,15,14,72,35,13,0,49,76,73,80,39,58,76,68,42"
9,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9558895783575597,24,30,"44,0,79,56,33,39,24,60,34,25,49,66,75,80,24,45,62,44,64,48,6,54,60,76,75,81,11,79,31,76"
10,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9511101304657719,25,30,"44,79,78,77,48,15,26,15,21,10,89,87,57,53,74,17,21,63,68,48,39,44,35,37,64,0,50,35,18,84"
