episode,total_reward,percent_reduction,pass_sequence
1,0.0,0.0,"cse_barrier_expander, reorder-convert-reduce-add, convert-memory-placement-to-internal-annotations"
2,0.0,0.0,"AssumeGatherIndicesInBoundRewriteToCopy, simplify-sorts, convert_operand_folding"
3,0.0,0.0,"gather_simplifier, all-reduce-folder, AssumeGatherIndicesInBoundRewriteToCopy"
