episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,33,cse_barrier_expander,0.0,5450.6720000000005,0.0,0.0
1,2,68,reorder-convert-reduce-add,0.0,5450.6720000000005,0.0,0.0
1,3,27,convert-memory-placement-to-internal-annotations,0.0,5450.6720000000005,0.0,0.0
2,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,5450.6720000000005,0.0,0.0
2,2,77,simplify-sorts,0.0,5450.6720000000005,0.0,0.0
2,3,29,convert_operand_folding,0.0,5450.6720000000005,0.0,0.0
3,1,47,gather_simplifier,0.0,5450.6720000000005,0.0,0.0
3,2,9,all-reduce-folder,0.0,5450.6720000000005,0.0,0.0
3,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,5450.6720000000005,0.0,0.0
