episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,0.0,308.084,308.084,0.0,0.0,0.995,26,30,"14,57,0,86,30,12,55,84,86,62,28,89,2,8,48,85,75,69,21,43,27,23,59,1,28,17,32,14,14,77"
2,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.990025,26,30,"81,51,20,42,82,36,80,22,85,0,89,50,60,21,79,17,34,43,22,42,52,17,78,4,66,39,33,87,11,78"
3,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.985074875,28,30,"88,22,14,35,26,32,7,28,59,72,0,0,69,24,66,36,40,63,6,1,79,55,67,57,45,19,57,80,89,65"
4,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9801495006250001,27,30,"74,87,40,60,6,8,79,9,19,37,79,6,27,72,81,43,80,48,1,21,52,10,46,17,76,36,84,1,53,15"
5,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9752487531218751,27,30,"81,25,22,40,85,25,0,29,51,26,14,39,59,28,89,24,73,34,33,0,70,39,56,61,4,9,44,68,79,57"
6,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9703725093562657,22,30,"54,65,10,42,0,84,43,49,69,75,69,46,61,11,12,31,66,31,48,48,0,36,46,58,36,12,78,54,8,20"
7,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9655206468094844,27,30,"81,58,40,19,25,60,42,29,47,70,77,83,18,36,60,84,55,12,43,20,87,28,67,4,71,8,45,84,37,18"
8,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.960693043575437,26,30,"73,38,86,16,81,61,45,4,56,0,58,7,24,58,4,67,88,62,34,50,65,0,10,58,66,41,57,46,26,82"
9,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9558895783575597,25,30,"50,75,80,0,52,26,46,0,54,65,39,19,33,64,57,46,71,0,16,3,19,38,21,20,32,63,74,45,8,26"
10,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9511101304657719,23,30,"70,28,57,64,70,85,25,55,47,63,29,35,86,52,32,78,47,9,84,85,70,55,71,87,42,62,70,73,78,54"
