episode,total_reward,percent_reduction,pass_sequence
2,21.00400000000002,6.8176211682528205,"sub-byte-size-setter, hlo-trivial-scheduler, collectives-schedule-linearizer, eigh_expander, test-only-algebraic-simplifier-with-onednn-enabled, despecializer, stochastic_convert_decomposer, computation-deduplicator, test-only-xla-builder, AssumeGatherIndicesInBoundRewriteToCopy, zero_sized_hlo_elimination, hlo-memory-scheduler, logistic-expander, comparison-expander, stable-sort-expander, cholesky_expander, dce, element_type_converter, computation-deduplicator, eigh_expander, host-memory-transfer-asyncifier, cholesky_expander, slice-sinker, all-gather-bcast-reorder, reduce-decomposer, dot_dimension_merger, cse_barrier_expander, tuple-simplifier, async-collective-creator, slice-sinker"
3,21.00400000000002,6.8176211682528205,"while-loop-trip-count-annotator, computation-deduplicator, bfloat16-fold, defuser, convert-async-collectives-to-sync, convolution_4d_expander, all-reduce-combiner, convert-mover, literal-canonicalizer, result_caster, AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy, reorder-reduce-transpose, constant_folding, reduce-decomposer, despecializer, dynamic-dimension-simplifier, optimize_input_output_buffer_alias, all-gather-cse, ReduceWindowToReduceAndBroadcast, stable-sort-expander, host-offloading-prepare-elide-move-to-host, reduce-window-rewriter, infeed-token-propagation, float-normalization-bf16, collective-transformation-reorderer, infeed-token-propagation, stochastic_convert_decomposer, zero_sized_hlo_elimination, real_imag_expander"
4,21.00400000000002,6.8176211682528205,"rng-expander, tuple-simplifier, dynamic-dimension-simplifier, logistic-expander, all-gather-cse, all-reduce-contiguous, stable-sort-expander, all-reduce-folder, collective-transformation-reorderer, dot-merger, stable-sort-expander, all-gather-cse, convert-memory-placement-to-internal-annotations, result_caster, sub-byte-size-setter, element_type_converter, stochastic_convert_decomposer, hlo-constant-splitter, ReduceWindowToReduceAndBroadcast, comparison-expander, host-memory-transfer-asyncifier, ar-crs-combiner, fusion_constant_sinking, cholesky_expander, simplify-fp-conversions, despecializer, test-only-foo2bar, ReduceWindowToReduceAndBroadcast, host-offload-legalize, bfloat16-propagation"
5,21.00400000000002,6.8176211682528205,"sub-byte-size-setter, control-dep-remover, computation-deduplicator, dynamic-dimension-simplifier, test-only-xla-builder, control-dep-remover, AssumeGatherIndicesInBoundRewriteToCopy, convert_operand_folding, hlo-trivial-scheduler, convert-async-collectives-to-sync, bfloat16-fold, dot_dimension_merger, literal-canonicalizer, convert-mover, zero_sized_hlo_elimination, constant_folding, rng-bit-generator-expander, dce, cse_barrier_expander, AssumeGatherIndicesInBoundRewriteToCopy, reshape-decomposer, dot_dimension_merger, indexed-array-analysis-printer-pass, memory-space-propagation, all-gather-bcast-reorder, all-reduce-folder, flatten-call-graph, reorder-convert-reduce-add, stable-sort-expander, infeed-token-propagation"
6,21.00400000000002,6.8176211682528205,"host-offloader, real_imag_expander, ar-crs-combiner, eigh_expander, AssumeGatherIndicesInBoundRewriteToCopy, test-only-foo2bar, element_type_converter, hlo-descheduler, reorder-reduce-transpose, root-instruction-sinker, reorder-reduce-transpose, fusion_constant_sinking, memory-space-propagation, async-collective-creator, batch-dot-simplification, convolution-pred-expander, reduce-decomposer, convolution-pred-expander, hlo-constant-splitter, hlo-constant-splitter, AssumeGatherIndicesInBoundRewriteToCopy, despecializer, fusion_constant_sinking, instruction-hoister, despecializer, batch-dot-simplification, slice-sinker, host-offloader, all-reduce-contiguous, collectives-schedule-linearizer"
