file_name,final_exploration_rate,best_reward,best_percent_reduction,most_used_pass,unique_passes_in_best,best_episode_number
euler_solver_simplified_with_static_num_steps.hlo,0.778312557068642,21.00400000000002,6.8176211682528205,conditional-canonicalizer,22,1
test_algebraic_simplifier_7.hlo,0.6057704364907278,294.716,60.83693201991595,AssumeGatherIndicesInBoundRewriteToCopy,21,24
test_algebraic_simplifier_11.hlo,0.4714787374216856,276.0760000000001,49.92874452924369,AssumeGatherIndicesInBoundRewriteToCopy,15,23
test_algebraic_simplifier_10.hlo,0.3669578217261671,399.972,67.81853203293498,AssumeGatherIndicesInBoundRewriteToCopy,14,25
test_algebraic_simplifier_6.hlo,0.285607880564032,231.764,49.99050938707896,AssumeGatherIndicesInBoundRewriteToCopy,14,16
test_algebraic_simplifier_4.hlo,0.222292199840747,168.51200000000003,47.03990709930995,AssumeGatherIndicesInBoundRewriteToCopy,11,10
test_algebraic_simplifier_12.hlo,0.1730128104744653,231.7040000000001,42.31047353312833,AssumeGatherIndicesInBoundRewriteToCopy,5,29
test_algebraic_simplifier_5.hlo,0.1346580429260134,315.788,57.66258618674769,AssumeGatherIndicesInBoundRewriteToCopy,8,47
test_algebraic_simplifier_17.hlo,0.1048060457196044,0.3360000000000127,0.0759191641661573,AssumeGatherIndicesInBoundRewriteToCopy,6,45
test_algebraic_simplifier_1.hlo,0.0815718614402782,42.063999999999965,7.681687692206543,AssumeGatherIndicesInBoundRewriteToCopy,3,12
