episode,total_reward,percent_reduction,pass_sequence
1,0.0,0.0,"AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy"
2,0.0,0.0,"stochastic_convert_decomposer, flatten-call-graph, AssumeGatherIndicesInBoundRewriteToCopy"
3,0.0,0.0,"hlo-memory-scheduler, async-collective-creator, host-offloader"
