episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,1096.142,0.0,0.0
1,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,1096.142,0.0,0.0
1,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,1096.142,0.0,0.0
2,1,80,stochastic_convert_decomposer,0.0,1096.142,0.0,0.0
2,2,44,flatten-call-graph,0.0,1096.142,0.0,0.0
2,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,1096.142,0.0,0.0
3,1,50,hlo-memory-scheduler,0.0,1096.142,0.0,0.0
3,2,11,async-collective-creator,0.0,1096.142,0.0,0.0
3,3,54,host-offloader,0.0,1096.142,0.0,0.0
