episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,0.0,308.084,308.084,0.0,0.0,0.995,9,10,"69,45,7,18,49,60,9,88,49,21"
2,0.0,308.084,308.084,0.0,0.0,0.990025,9,10,"36,10,61,54,30,38,64,68,10,76"
3,0.0,308.084,308.084,0.0,0.0,0.985074875,10,10,"31,19,22,83,69,70,66,32,48,68"
4,0.0,308.084,308.084,0.0,0.0,0.9801495006250001,9,10,"76,46,55,82,66,42,17,82,38,75"
5,0.0,308.084,308.084,0.0,0.0,0.9752487531218751,10,10,"11,32,53,37,57,47,19,54,42,0"
6,0.0,308.084,308.084,0.0,0.0,0.9703725093562657,9,10,"8,22,6,8,44,13,81,73,16,24"
7,0.0,308.084,308.084,0.0,0.0,0.9655206468094844,9,10,"86,13,83,89,57,26,41,52,57,87"
8,0.0,308.084,308.084,0.0,0.0,0.960693043575437,9,10,"4,25,37,37,78,36,66,86,77,61"
9,0.0,308.084,308.084,0.0,0.0,0.9558895783575597,10,10,"84,12,51,50,11,89,3,72,46,52"
10,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9511101304657719,10,10,"31,76,84,15,7,39,14,24,45,35"
11,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.946354579813443,10,10,"89,15,82,57,40,33,71,0,38,5"
12,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9416228069143757,9,10,"74,25,48,36,36,57,37,10,33,23"
13,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9369146928798039,9,10,"86,30,35,57,23,61,0,54,27,0"
14,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9322301194154049,9,10,"30,61,5,58,84,24,72,72,76,57"
15,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9275689688183278,7,10,"16,32,0,42,32,47,0,0,31,88"
16,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9229311239742362,8,10,"89,89,67,0,32,0,35,78,51,3"
17,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.918316468354365,10,10,"85,89,39,62,49,70,31,0,46,76"
18,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9137248860125932,8,10,"70,34,28,48,73,0,43,73,3,0"
19,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9091562615825302,10,10,"73,34,36,86,31,27,0,2,41,84"
20,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9046104802746175,10,10,"73,25,15,77,26,24,14,57,0,65"
21,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9000874278732445,9,10,"63,87,19,18,0,28,50,0,29,26"
22,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8955869907338783,9,10,"13,81,59,50,53,26,5,21,59,57"
23,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8911090557802088,8,10,"70,65,0,0,0,68,25,57,56,40"
24,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8866535105013078,9,10,"43,57,80,69,7,14,43,9,19,73"
25,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8822202429488013,9,10,"22,25,86,5,55,18,6,0,46,0"
