episode,total_reward,percent_reduction,pass_sequence
10,21.00400000000002,6.8176211682528205,"convolution-pred-expander, simplify-fp-conversions, test-only-foo2bar, bfloat16-propagation, all-reduce-combiner, dot_dimension_merger, bfloat16-fold, constant_folding, float-normalization-bf16, defuser"
11,21.00400000000002,6.8176211682528205,"zero_sized_hlo_elimination, bfloat16-propagation, test-only-algebraic-simplifier-with-onednn-enabled, infeed-token-propagation, dynamic-dimension-simplifier, cse_barrier_expander, reshape-mover, AssumeGatherIndicesInBoundRewriteToCopy, dot_decomposer, all-gather-combiner"
12,21.00400000000002,6.8176211682528205,"rng-expander, control-dep-remover, hlo-constant-splitter, despecializer, despecializer, infeed-token-propagation, dot-merger, ar-crs-combiner, cse_barrier_expander, conditional-canonicalizer"
13,21.00400000000002,6.8176211682528205,"tree_reduction_rewriter, convolution-group-converter, defuser, infeed-token-propagation, conditional-canonicalizer, memory-space-propagation, AssumeGatherIndicesInBoundRewriteToCopy, host-offloader, convert-memory-placement-to-internal-annotations, AssumeGatherIndicesInBoundRewriteToCopy"
14,21.00400000000002,6.8176211682528205,"convolution-group-converter, memory-space-propagation, all-gather-combiner, instruction-hoister, test-only-foo2bar, constant_folding, result_caster, result_caster, simplify-fp-conversions, infeed-token-propagation"
