episode,total_reward,percent_reduction,pass_sequence
1,0.0,0.0,"broadcast_canonicalizer, AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy"
2,0.0,0.0,"AssumeGatherIndicesInBoundRewriteToCopy, bfloat16-fold, reorder-convert-reduce-add"
3,0.0,0.0,"AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy"
