episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,474.28,0.0,0.0
1,2,4,all-gather-bcast-reorder,0.0,474.28,0.0,0.0
1,3,77,simplify-sorts,0.0,474.28,0.0,0.0
2,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,474.28,0.0,0.0
2,2,50,hlo-memory-scheduler,0.0,474.28,0.0,0.0
2,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,474.28,0.0,0.0
3,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,474.28,0.0,0.0
3,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,474.28,0.0,0.0
3,3,6,all-gather-cse,0.0,474.28,0.0,0.0
