file_name,final_exploration_rate,best_reward,best_percent_reduction,most_used_pass,unique_passes_in_best,best_episode_number
euler_solver_simplified_with_static_num_steps.hlo,0.778312557068642,21.00400000000002,6.8176211682528205,all-gather-cse,25,1
test_algebraic_simplifier_7.hlo,0.6057704364907278,294.716,60.83693201991595,AssumeGatherIndicesInBoundRewriteToCopy,21,21
test_algebraic_simplifier_11.hlo,0.4714787374216856,233.81600000000003,42.28596231055811,AssumeGatherIndicesInBoundRewriteToCopy,14,45
test_algebraic_simplifier_10.hlo,0.3669578217261671,399.972,67.81853203293498,AssumeGatherIndicesInBoundRewriteToCopy,14,12
test_algebraic_simplifier_6.hlo,0.285607880564032,231.764,49.99050938707896,AssumeGatherIndicesInBoundRewriteToCopy,9,49
test_algebraic_simplifier_4.hlo,0.222292199840747,105.38000000000002,29.416690859554706,AssumeGatherIndicesInBoundRewriteToCopy,6,43
test_algebraic_simplifier_12.hlo,0.1730128104744653,168.69200000000006,30.804122506519032,AssumeGatherIndicesInBoundRewriteToCopy,10,27
test_algebraic_simplifier_5.hlo,0.1346580429260134,315.788,57.66258618674769,AssumeGatherIndicesInBoundRewriteToCopy,5,48
test_algebraic_simplifier_17.hlo,0.1048060457196044,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,6,1
test_algebraic_simplifier_1.hlo,0.0815718614402782,42.063999999999965,7.681687692206543,AssumeGatherIndicesInBoundRewriteToCopy,3,7
test_algebraic_simplifier_16.hlo,0.0634884040624318,42.067999999999984,11.745326215630648,AssumeGatherIndicesInBoundRewriteToCopy,4,12
test_algebraic_simplifier_14.hlo,0.0494138221100385,84.13600000000002,19.027545343525265,AssumeGatherIndicesInBoundRewriteToCopy,3,13
test_algebraic_simplifier_28.hlo,0.038459398240999,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,3,1
test_algebraic_simplifier_2.hlo,0.0299334325882732,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
test_algebraic_simplifier_3.hlo,0.0232975664596207,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
test_algebraic_simplifier_29.hlo,0.018132788524664,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_15.hlo,0.0141129770034161,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_18.hlo,0.0109843072193797,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
test_algebraic_simplifier_30.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_24.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
capm_expected_return.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_25.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_19.hlo,0.01,42.067999999999984,7.6809593713254865,AssumeGatherIndicesInBoundRewriteToCopy,2,18
mean_variance_portfolio_optimization.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_26.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
linear_regression_update_with_grad.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
kelly_criterion.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_22.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_8.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_9.hlo,0.01,0.3360000000000127,0.0886038563773714,AssumeGatherIndicesInBoundRewriteToCopy,3,43
test_algebraic_simplifier_23.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
monte_carlo_call_option_price.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
test_algebraic_simplifier_21.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
geometric_brownian_motion_path_simulation.hlo,0.01,140.05199999999968,2.5692278227714844,dce,2,48
test_algebraic_simplifier_20.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
value_at_risk_var.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,1,1
sigmoid_function.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
exponential_moving_average.hlo,0.01,0.0,0.0,AssumeGatherIndicesInBoundRewriteToCopy,2,1
