file_name,final_exploration_rate,best_reward,best_percent_reduction,most_used_pass,unique_passes_in_best,best_episode_number
euler_solver_simplified_with_static_num_steps.hlo,0.951110130465772,21.00400000000002,6.8176211682528205,all-gather-bcast-reorder,25,1
test_algebraic_simplifier_7.hlo,0.9046104802746175,294.716,60.83693201991595,AssumeGatherIndicesInBoundRewriteToCopy,23,10
