episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,56,indexed-array-analysis-printer-pass,0.0,308.084,0.0,0.0
1,2,42,eigh_expander,0.0,308.084,0.0,0.0
1,3,89,zero_sized_hlo_elimination,0.0,308.084,0.0,0.0
2,1,19,collective-transformation-reorderer,0.0,308.084,0.0,0.0
2,2,23,conditional-canonicalizer,0.0,308.084,0.0,0.0
2,3,87,tuple-simplifier,0.0,308.084,0.0,0.0
3,1,59,literal-canonicalizer,0.0,308.084,0.0,0.0
3,2,51,hlo-trivial-scheduler,0.0,308.084,0.0,0.0
3,3,18,collective-quantizer,0.0,308.084,0.0,0.0
