episode,total_reward,percent_reduction,pass_sequence
2,21.00400000000002,6.8176211682528205,"all-reduce-combiner, test-only-foo2bar, convert-memory-placement-to-internal-annotations, bfloat16-fold, operand_upcaster, defuser, ReduceWindowToReduceAndBroadcast, convert-memory-placement-to-internal-annotations, host-memory-transfer-asyncifier, dce, hlo-memory-scheduler, indexed-array-analysis-printer-pass, literal-canonicalizer, rng-bit-generator-expander, rng-expander, ar-crs-combiner, element_type_converter, test-only-xla-builder, indexed-array-analysis-printer-pass, convert-async-collectives-to-sync, float-normalization-bf16, memory-space-propagation, collective-transformation-reorderer, defuser, host-offloading-prepare-elide-move-to-host, convert-memory-placement-to-internal-annotations, convert-async-collectives-to-sync, broadcast_canonicalizer, test-only-foo2bar, qr_expander"
3,21.00400000000002,6.8176211682528205,"flatten-call-graph, simplify-sorts, bf16-mixed-precision-removal, hlo-trivial-scheduler, rng-bit-generator-expander, indexed-array-analysis-printer-pass, simplify-sorts, dot_dimension_merger, hlo-constant-splitter, convert_operand_folding, constant_folding, bf16-mixed-precision-removal, reshape-decomposer, hlo-descheduler, test-only-algebraic-simplifier-with-onednn-enabled, dot-merger, logistic-expander, ar-crs-combiner, batch-dot-simplification, collectives-schedule-linearizer, simplify-sorts, test-only-foo2bar, host-offloading-prepare-elide-move-to-host, float-normalization-bf16, batch-dot-simplification, memory-space-propagation, collectives-schedule-linearizer, reduce-decomposer, ReduceWindowToReduceAndBroadcast, collective-transformation-reorderer"
4,21.00400000000002,6.8176211682528205,"reduce-decomposer, dot_dimension_merger, add-original-value, all-gather-combiner, batch-dot-simplification, convolution-pred-expander, test-only-bar2hello, host-offload-legalize, indexed-array-analysis-printer-pass, host-offloading-prepare-elide-move-to-host, hlo-descheduler, logistic-expander, reshape-mover, dce, bfloat16-propagation, host-memory-transfer-asyncifier, convert-memory-placement-to-internal-annotations, AssumeGatherIndicesInBoundRewriteToCopy, reshape-mover, while-loop-trip-count-annotator, convolution_4d_expander, constant_folding, convert-memory-placement-to-internal-annotations, dce, test-only-algebraic-simplifier-with-onednn-enabled, computation-deduplicator, while-loop-trip-count-annotator, reduce-window-rewriter, reorder-convert-reduce-add, ar-crs-combiner"
5,21.00400000000002,6.8176211682528205,"dynamic-dimension-simplifier, reshape-mover, stochastic_convert_decomposer, sub-byte-size-setter, convert-async-collectives-to-sync, simplify-fp-conversions, instruction-hoister, tree_reduction_rewriter, qr_expander, qr_expander, bfloat16-propagation, all-gather-bcast-reorder, hlo-descheduler, hlo-descheduler, result_caster, batch-dot-simplification, convert-async-collectives-to-sync, result_caster, cse_barrier_expander, collective-quantizer, defuser, logistic-expander, collective-quantizer, constant_folding, collective-quantizer, cse_barrier_expander, constant_folding, element_type_converter, convert-async-collectives-to-sync, tuple-simplifier"
6,21.00400000000002,6.8176211682528205,"convert_operand_folding, AssumeGatherIndicesInBoundRewriteToCopy, convolution-pred-expander, host-offloading-prepare-elide-move-to-host, convolution-group-converter, bfloat16-propagation, bf16-mixed-precision-removal, host-memory-transfer-asyncifier, convert-memory-placement-to-internal-annotations, element_type_converter, all-reduce-contiguous, reduce-decomposer, reorder-reduce-transpose, test-only-xla-builder, bfloat16-propagation, bf16-mixed-precision-removal, collective-quantizer, bfloat16-fold, all-reduce-folder, reduce-decomposer, hlo-descheduler, reduce-window-rewriter, reshape-mover, cse_barrier_expander, ar-crs-combiner, convolution-group-converter, AssumeGatherIndicesInBoundRewriteToCopy, AssumeGatherIndicesInBoundRewriteToCopy, eigh_expander, host-offloading-prepare-elide-move-to-host"
