episode,total_reward,percent_reduction,pass_sequence
1,21.00400000000002,6.8176211682528205,"real_imag_expander, while-loop-trip-count-annotator, convert-async-collectives-to-sync, bfloat16-propagation, host-offload-legalize, add-original-value, reduce-window-rewriter, stable-sort-expander, ReduceWindowToReduceAndBroadcast, real_imag_expander, zero_sized_hlo_elimination, stochastic_convert_decomposer, root-instruction-sinker, optimize_input_output_buffer_alias, test-only-xla-builder, hlo-constant-splitter, all-reduce-contiguous, all-gather-cse, all-gather-cse, all-gather-bcast-reorder, root-instruction-sinker, host-offload-legalize, float-normalization-bf16, instruction-hoister, while-loop-trip-count-annotator, convert-mover, slice-sinker, convert-memory-placement-to-internal-annotations, logistic-expander, constant_folding"
2,21.00400000000002,6.8176211682528205,"all-reduce-combiner, dot_dimension_merger, host-memory-transfer-asyncifier, collective-transformation-reorderer, flatten-call-graph, cholesky_expander, convert-memory-placement-to-internal-annotations, dot_decomposer, tree_reduction_rewriter, tree_reduction_rewriter, algsimp, control-dep-remover, tree_reduction_rewriter, convert-mover, convolution_4d_expander, host-offloading-prepare-elide-move-to-host, reshape-mover, AssumeGatherIndicesInBoundRewriteToCopy, algsimp, all-gather-combiner, flatten-call-graph, sub-byte-size-setter, computation-deduplicator, host-offloading-prepare-elide-move-to-host, convert-async-collectives-to-sync, test-only-algebraic-simplifier-with-onednn-enabled, broadcast_canonicalizer, optimize_input_output_buffer_alias, all-reduce-contiguous, convolution-group-converter"
3,21.00400000000002,6.8176211682528205,"eigh_expander, tree_reduction_rewriter, eigh_expander, test-only-foo2bar, host-offloader, dynamic-dimension-simplifier, hlo-memory-scheduler, collective-quantizer, literal-canonicalizer, reshape-decomposer, result_caster, convert-memory-placement-to-internal-annotations, test-only-algebraic-simplifier-with-onednn-enabled, while-loop-trip-count-annotator, indexed-array-analysis-printer-pass, constant_folding, rng-bit-generator-expander, reorder-convert-reduce-add, hlo-memory-scheduler, operand_upcaster, test-only-bar2hello, rng-expander, host-offload-legalize, hlo-constant-splitter, AssumeGatherIndicesInBoundRewriteToCopy, simplify-sorts, batch-dot-simplification, control-dep-remover, qr_expander, bf16-mixed-precision-removal"
4,21.00400000000002,6.8176211682528205,"convolution_4d_expander, all-gather-combiner, all-reduce-contiguous, test-only-bar2hello, test-only-algebraic-simplifier-with-onednn-enabled, collective-transformation-reorderer, convert-mover, test-only-bar2hello, test-only-algebraic-simplifier-with-onednn-enabled, convert-mover, tuple-simplifier, instruction-hoister, test-only-bar2hello, AssumeGatherIndicesInBoundRewriteToCopy, host-memory-transfer-asyncifier, host-offloader, algsimp, sub-byte-size-setter, stochastic_convert_decomposer, qr_expander, bf16-mixed-precision-removal, collectives-schedule-linearizer, test-only-foo2bar, convolution_4d_expander, reshape-mover, host-memory-transfer-asyncifier, sub-byte-size-setter, all-reduce-folder, result_caster, infeed-token-propagation"
5,21.00400000000002,6.8176211682528205,"collective-quantizer, add-original-value, bfloat16-propagation, dce, float-normalization-bf16, flatten-call-graph, comparison-expander, broadcast_canonicalizer, all-reduce-combiner, ReduceWindowToReduceAndBroadcast, convert-async-collectives-to-sync, rng-bit-generator-expander, infeed-token-propagation, dot-merger, dynamic-dimension-simplifier, eigh_expander, optimize_input_output_buffer_alias, eigh_expander, stochastic_convert_decomposer, hlo-memory-scheduler, despecializer, reshape-decomposer, hlo-descheduler, hlo-constant-splitter, batch-dot-simplification, all-gather-combiner, add-original-value, zero_sized_hlo_elimination, host-offloading-prepare-elide-move-to-host, host-offloading-prepare-elide-move-to-host"
