episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,16,broadcast_canonicalizer,0.0,126.024,0.0,0.0
1,2,31,convolution-pred-expander,0.0,126.024,0.0,0.0
1,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,126.024,0.0,0.0
2,1,32,convolution_4d_expander,0.0,126.024,0.0,0.0
2,2,61,memory-space-propagation,0.0,126.024,0.0,0.0
2,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,126.024,0.0,0.0
3,1,89,zero_sized_hlo_elimination,0.0,126.024,0.0,0.0
3,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,126.024,0.0,0.0
3,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,126.024,0.0,0.0
