episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,5,all-gather-combiner,0.0,308.084,0.0,0.0
1,2,32,convolution_4d_expander,0.0,308.084,0.0,0.0
1,3,18,collective-quantizer,0.0,308.084,0.0,0.0
1,4,64,qr_expander,0.0,308.084,0.0,0.0
1,5,22,computation-deduplicator,0.0,308.084,0.0,0.0
1,6,39,dot_dimension_merger,0.0,308.084,0.0,0.0
1,7,40,dynamic-dimension-simplifier,0.0,308.084,0.0,0.0
1,8,13,bf16-mixed-precision-removal,0.0,308.084,0.0,0.0
1,9,32,convolution_4d_expander,0.0,308.084,0.0,0.0
1,10,26,convert-async-collectives-to-sync,0.0,308.084,0.0,0.0
1,11,76,simplify-fp-conversions,0.0,308.084,0.0,0.0
1,12,5,all-gather-combiner,0.0,308.084,0.0,0.0
1,13,66,reduce-decomposer,0.0,308.084,0.0,0.0
1,14,60,logistic-expander,0.0,308.084,0.0,0.0
1,15,76,simplify-fp-conversions,0.0,308.084,0.0,0.0
1,16,67,reduce-window-rewriter,0.0,308.084,0.0,0.0
1,17,62,operand_upcaster,0.0,308.084,0.0,0.0
1,18,33,cse_barrier_expander,0.0,308.084,0.0,0.0
1,19,3,algsimp,0.0,308.084,0.0,0.0
1,20,80,stochastic_convert_decomposer,0.0,308.084,0.0,0.0
1,21,15,bfloat16-propagation,21.00400000000002,287.08,21.00400000000002,6.8176211682528205
1,22,21,comparison-expander,0.0,287.08,21.00400000000002,6.8176211682528205
1,23,51,hlo-trivial-scheduler,0.0,287.08,21.00400000000002,6.8176211682528205
1,24,49,hlo-descheduler,0.0,287.08,21.00400000000002,6.8176211682528205
1,25,35,defuser,0.0,287.08,21.00400000000002,6.8176211682528205
1,26,10,ar-crs-combiner,0.0,287.08,21.00400000000002,6.8176211682528205
1,27,12,batch-dot-simplification,0.0,287.08,21.00400000000002,6.8176211682528205
1,28,51,hlo-trivial-scheduler,0.0,287.08,21.00400000000002,6.8176211682528205
1,29,35,defuser,0.0,287.08,21.00400000000002,6.8176211682528205
1,30,11,async-collective-creator,0.0,287.08,21.00400000000002,6.8176211682528205
2,1,34,dce,21.00400000000002,287.08,21.00400000000002,6.8176211682528205
2,2,63,optimize_input_output_buffer_alias,0.0,287.08,21.00400000000002,6.8176211682528205
2,3,7,all-reduce-combiner,0.0,287.08,21.00400000000002,6.8176211682528205
2,4,80,stochastic_convert_decomposer,0.0,287.08,21.00400000000002,6.8176211682528205
2,5,26,convert-async-collectives-to-sync,0.0,287.08,21.00400000000002,6.8176211682528205
2,6,28,convert-mover,0.0,287.08,21.00400000000002,6.8176211682528205
2,7,38,dot_decomposer,0.0,287.08,21.00400000000002,6.8176211682528205
2,8,63,optimize_input_output_buffer_alias,0.0,287.08,21.00400000000002,6.8176211682528205
2,9,80,stochastic_convert_decomposer,0.0,287.08,21.00400000000002,6.8176211682528205
2,10,33,cse_barrier_expander,0.0,287.08,21.00400000000002,6.8176211682528205
2,11,56,indexed-array-analysis-printer-pass,0.0,287.08,21.00400000000002,6.8176211682528205
2,12,51,hlo-trivial-scheduler,0.0,287.08,21.00400000000002,6.8176211682528205
2,13,47,gather_simplifier,0.0,287.08,21.00400000000002,6.8176211682528205
2,14,1,ReduceWindowToReduceAndBroadcast,0.0,287.08,21.00400000000002,6.8176211682528205
2,15,50,hlo-memory-scheduler,0.0,287.08,21.00400000000002,6.8176211682528205
2,16,58,instruction-hoister,0.0,287.08,21.00400000000002,6.8176211682528205
2,17,48,hlo-constant-splitter,0.0,287.08,21.00400000000002,6.8176211682528205
2,18,68,reorder-convert-reduce-add,0.0,287.08,21.00400000000002,6.8176211682528205
2,19,26,convert-async-collectives-to-sync,0.0,287.08,21.00400000000002,6.8176211682528205
2,20,48,hlo-constant-splitter,0.0,287.08,21.00400000000002,6.8176211682528205
2,21,34,dce,0.0,287.08,21.00400000000002,6.8176211682528205
2,22,41,dynamic-index-splitter,0.0,287.08,21.00400000000002,6.8176211682528205
2,23,10,ar-crs-combiner,0.0,287.08,21.00400000000002,6.8176211682528205
2,24,1,ReduceWindowToReduceAndBroadcast,0.0,287.08,21.00400000000002,6.8176211682528205
2,25,33,cse_barrier_expander,0.0,287.08,21.00400000000002,6.8176211682528205
2,26,37,dot-merger,0.0,287.08,21.00400000000002,6.8176211682528205
2,27,34,dce,0.0,287.08,21.00400000000002,6.8176211682528205
2,28,67,reduce-window-rewriter,0.0,287.08,21.00400000000002,6.8176211682528205
2,29,31,convolution-pred-expander,0.0,287.08,21.00400000000002,6.8176211682528205
2,30,88,while-loop-trip-count-annotator,0.0,287.08,21.00400000000002,6.8176211682528205
3,1,53,host-offload-legalize,21.00400000000002,287.08,21.00400000000002,6.8176211682528205
3,2,79,stable-sort-expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,3,19,collective-transformation-reorderer,0.0,287.08,21.00400000000002,6.8176211682528205
3,4,64,qr_expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,5,51,hlo-trivial-scheduler,0.0,287.08,21.00400000000002,6.8176211682528205
3,6,79,stable-sort-expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,7,32,convolution_4d_expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,8,45,float-normalization-bf16,0.0,287.08,21.00400000000002,6.8176211682528205
3,9,89,zero_sized_hlo_elimination,0.0,287.08,21.00400000000002,6.8176211682528205
3,10,42,eigh_expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,11,19,collective-transformation-reorderer,0.0,287.08,21.00400000000002,6.8176211682528205
3,12,59,literal-canonicalizer,0.0,287.08,21.00400000000002,6.8176211682528205
3,13,10,ar-crs-combiner,0.0,287.08,21.00400000000002,6.8176211682528205
3,14,62,operand_upcaster,0.0,287.08,21.00400000000002,6.8176211682528205
3,15,50,hlo-memory-scheduler,0.0,287.08,21.00400000000002,6.8176211682528205
3,16,38,dot_decomposer,0.0,287.08,21.00400000000002,6.8176211682528205
3,17,45,float-normalization-bf16,0.0,287.08,21.00400000000002,6.8176211682528205
3,18,57,infeed-token-propagation,0.0,287.08,21.00400000000002,6.8176211682528205
3,19,76,simplify-fp-conversions,0.0,287.08,21.00400000000002,6.8176211682528205
3,20,64,qr_expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,21,63,optimize_input_output_buffer_alias,0.0,287.08,21.00400000000002,6.8176211682528205
3,22,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,287.08,21.00400000000002,6.8176211682528205
3,23,84,test-only-foo2bar,0.0,287.08,21.00400000000002,6.8176211682528205
3,24,86,tree_reduction_rewriter,0.0,287.08,21.00400000000002,6.8176211682528205
3,25,22,computation-deduplicator,0.0,287.08,21.00400000000002,6.8176211682528205
3,26,11,async-collective-creator,0.0,287.08,21.00400000000002,6.8176211682528205
3,27,86,tree_reduction_rewriter,0.0,287.08,21.00400000000002,6.8176211682528205
3,28,67,reduce-window-rewriter,0.0,287.08,21.00400000000002,6.8176211682528205
3,29,65,real_imag_expander,0.0,287.08,21.00400000000002,6.8176211682528205
3,30,36,despecializer,0.0,287.08,21.00400000000002,6.8176211682528205
4,1,61,memory-space-propagation,21.00400000000002,287.08,21.00400000000002,6.8176211682528205
4,2,46,fusion_constant_sinking,0.0,287.08,21.00400000000002,6.8176211682528205
4,3,85,test-only-xla-builder,0.0,287.08,21.00400000000002,6.8176211682528205
4,4,83,test-only-bar2hello,0.0,287.08,21.00400000000002,6.8176211682528205
4,5,46,fusion_constant_sinking,0.0,287.08,21.00400000000002,6.8176211682528205
4,6,65,real_imag_expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,7,76,simplify-fp-conversions,0.0,287.08,21.00400000000002,6.8176211682528205
4,8,25,control-dep-remover,0.0,287.08,21.00400000000002,6.8176211682528205
4,9,17,cholesky_expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,10,88,while-loop-trip-count-annotator,0.0,287.08,21.00400000000002,6.8176211682528205
4,11,64,qr_expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,12,65,real_imag_expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,13,39,dot_dimension_merger,0.0,287.08,21.00400000000002,6.8176211682528205
4,14,83,test-only-bar2hello,0.0,287.08,21.00400000000002,6.8176211682528205
4,15,59,literal-canonicalizer,0.0,287.08,21.00400000000002,6.8176211682528205
4,16,69,reorder-reduce-transpose,0.0,287.08,21.00400000000002,6.8176211682528205
4,17,31,convolution-pred-expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,18,42,eigh_expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,19,68,reorder-convert-reduce-add,0.0,287.08,21.00400000000002,6.8176211682528205
4,20,53,host-offload-legalize,0.0,287.08,21.00400000000002,6.8176211682528205
4,21,63,optimize_input_output_buffer_alias,0.0,287.08,21.00400000000002,6.8176211682528205
4,22,3,algsimp,0.0,287.08,21.00400000000002,6.8176211682528205
4,23,47,gather_simplifier,0.0,287.08,21.00400000000002,6.8176211682528205
4,24,29,convert_operand_folding,0.0,287.08,21.00400000000002,6.8176211682528205
4,25,29,convert_operand_folding,0.0,287.08,21.00400000000002,6.8176211682528205
4,26,26,convert-async-collectives-to-sync,0.0,287.08,21.00400000000002,6.8176211682528205
4,27,35,defuser,0.0,287.08,21.00400000000002,6.8176211682528205
4,28,20,collectives-schedule-linearizer,0.0,287.08,21.00400000000002,6.8176211682528205
4,29,33,cse_barrier_expander,0.0,287.08,21.00400000000002,6.8176211682528205
4,30,42,eigh_expander,0.0,287.08,21.00400000000002,6.8176211682528205
