episode,total_reward,initial_cost,final_cost,cost_reduction,percent_reduction,exploration_rate,unique_actions,steps_taken,action_sequence
1,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.995,25,30,"5,32,18,64,22,39,40,13,32,26,76,5,66,60,76,67,62,33,3,80,15,21,51,49,35,10,12,51,35,11"
2,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.990025,22,30,"34,63,7,80,26,28,38,63,80,33,56,51,47,1,50,58,48,68,26,48,34,41,10,1,33,37,34,67,31,88"
3,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.985074875,25,30,"53,79,19,64,51,79,32,45,89,42,19,59,10,62,50,38,45,57,76,64,63,0,84,86,22,11,86,67,65,36"
4,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9801495006250001,25,30,"61,46,85,83,46,65,76,25,17,88,64,65,39,83,59,69,31,42,68,53,63,3,47,29,29,26,35,20,33,42"
5,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9752487531218751,26,30,"34,11,71,17,75,52,84,25,29,47,37,76,49,5,37,54,59,42,52,31,1,13,16,61,36,32,14,72,1,13"
6,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9703725093562657,23,30,"42,60,77,50,0,40,72,0,29,72,41,51,72,80,43,67,32,81,65,15,84,70,42,29,37,0,41,24,78,56"
7,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9655206468094844,26,30,"23,25,56,55,0,63,67,34,71,8,46,74,46,32,33,8,3,83,72,63,2,38,45,69,76,61,27,45,13,20"
8,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.960693043575437,28,30,"27,3,33,0,35,81,81,79,88,29,86,20,84,42,53,12,48,37,84,85,76,63,11,2,69,55,89,9,1,65"
9,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9558895783575597,25,30,"4,37,65,0,62,29,70,17,32,28,0,9,50,15,45,45,87,38,57,11,44,46,12,50,87,27,22,49,20,20"
10,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9511101304657719,21,30,"49,80,27,30,79,66,4,57,74,0,45,79,74,30,3,14,44,3,33,29,16,30,78,63,68,0,0,37,44,49"
11,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.946354579813443,25,30,"70,0,88,32,11,33,17,13,1,17,19,57,14,0,73,64,11,36,77,86,66,0,82,15,16,54,55,49,41,86"
12,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9416228069143757,28,30,"35,69,62,77,55,45,64,53,28,33,70,27,62,52,58,14,68,32,14,89,79,2,10,44,7,83,1,84,24,78"
13,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9369146928798039,25,30,"88,14,56,35,54,85,13,27,55,87,0,67,81,11,4,37,67,39,84,3,82,11,36,2,5,1,0,0,30,3"
14,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9322301194154049,26,30,"42,22,89,2,23,81,26,81,88,77,24,72,75,33,77,0,3,55,27,12,18,39,81,7,16,85,3,60,45,28"
15,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9275689688183278,25,30,"85,85,13,49,55,52,33,20,20,84,32,0,89,47,0,68,85,38,30,9,4,46,19,27,44,34,65,18,13,35"
16,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9229311239742362,23,30,"34,42,25,73,18,60,44,16,76,0,0,25,33,0,5,76,62,28,28,34,20,17,21,9,77,26,83,19,28,4"
17,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.918316468354365,26,30,"68,28,0,83,43,63,5,4,38,35,47,5,44,15,33,1,57,0,54,54,6,51,12,89,67,60,1,85,75,34"
18,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9137248860125932,25,30,"75,9,35,89,16,73,88,44,4,24,38,6,26,51,24,0,88,89,10,1,17,36,9,9,60,57,76,32,31,11"
19,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9091562615825302,25,30,"33,54,23,9,55,86,41,65,41,52,0,0,79,42,25,0,65,28,68,65,18,87,5,74,76,77,31,8,70,1"
20,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9046104802746175,25,30,"83,11,14,33,22,32,42,64,31,71,57,76,89,50,34,15,46,9,82,53,89,71,76,20,3,46,26,14,0,81"
21,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.9000874278732445,24,30,"62,49,79,34,0,80,13,5,55,36,89,30,49,65,68,1,24,33,7,0,80,72,35,44,56,38,49,11,44,80"
22,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8955869907338783,27,30,"59,50,62,70,83,36,83,20,0,70,81,6,75,41,63,14,2,77,32,11,1,84,4,57,0,7,55,82,26,88"
23,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8911090557802088,23,30,"77,42,1,0,38,71,24,30,61,24,13,30,35,21,52,63,45,73,6,15,76,39,34,16,24,0,0,13,73,53"
24,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8866535105013078,24,30,"40,65,32,52,42,24,86,51,68,43,70,42,74,71,63,0,22,2,54,54,31,18,0,44,23,18,0,3,0,46"
25,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8822202429488013,28,30,"37,47,4,27,13,16,75,47,45,24,18,20,21,39,23,25,6,30,81,0,82,84,3,41,5,27,35,74,63,66"
26,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8778091417340573,24,30,"27,0,2,60,38,30,82,48,0,0,49,14,0,17,76,6,61,34,0,47,55,44,2,68,64,85,27,36,32,58"
27,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8734200960253871,23,30,"46,8,34,10,35,10,78,0,7,0,67,0,84,37,63,63,22,52,17,33,62,17,51,71,35,46,76,61,18,20"
28,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8690529955452602,25,30,"75,42,0,0,68,32,61,9,12,77,36,81,21,51,60,67,0,57,0,19,30,26,59,80,0,73,42,46,89,3"
29,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8647077305675338,23,30,"35,81,36,0,23,11,42,47,10,55,0,21,19,36,43,1,89,89,49,35,28,67,14,45,15,38,38,0,54,89"
30,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8603841919146962,25,30,"21,78,0,55,69,57,46,32,23,60,52,26,78,38,85,23,0,77,4,58,43,37,25,59,29,0,70,36,34,0"
31,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8560822709551227,23,30,"32,39,81,0,59,65,0,0,89,8,58,30,76,80,7,25,35,8,38,80,18,26,12,0,26,61,59,82,43,54"
32,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.851801859600347,25,30,"20,0,0,50,29,18,10,64,16,27,81,13,59,42,0,47,31,49,0,38,0,80,87,28,52,63,37,15,0,33"
33,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8475428503023453,22,30,"58,56,17,41,0,0,0,54,19,16,35,59,8,79,41,27,0,58,77,57,54,39,52,68,0,31,53,87,66,0"
34,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8433051360508336,23,30,"34,57,63,80,0,15,0,59,32,86,63,68,13,5,36,0,67,59,64,37,42,62,46,0,88,0,86,87,50,58"
35,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8390886103705794,23,30,"21,70,3,50,37,34,6,14,12,7,33,37,0,37,0,76,0,80,74,83,60,18,0,41,32,62,0,0,36,17"
36,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8348931673187264,20,30,"34,31,28,0,0,83,0,15,65,66,0,0,31,2,53,31,65,42,77,25,54,9,36,83,57,44,78,0,34,68"
37,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8307187014821328,27,30,"14,39,27,61,26,64,0,86,53,55,84,86,35,68,15,76,3,2,0,80,36,0,38,56,42,72,54,88,16,5"
38,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8265651079747222,24,30,"7,26,60,70,87,23,55,41,27,52,86,69,76,57,0,43,60,25,48,19,0,70,0,73,45,54,0,0,58,51"
39,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8224322824348486,19,30,"54,87,0,0,55,19,43,88,61,0,10,11,0,50,11,0,0,28,11,40,0,25,55,70,57,84,0,61,38,31"
40,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8183201210226743,25,30,"32,58,41,16,0,0,61,37,23,28,86,13,64,44,0,35,30,82,87,32,88,0,33,34,46,21,79,36,67,58"
41,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8142285204175609,24,30,"60,32,0,81,48,31,57,60,76,43,60,66,10,19,13,46,13,55,0,54,43,11,52,35,58,17,28,18,30,0"
42,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.810157377815473,25,30,"57,73,9,21,28,5,81,0,77,86,31,2,42,0,32,7,76,68,79,25,19,80,77,13,47,12,30,0,42,0"
43,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8061065909263957,22,30,"34,75,80,4,34,66,36,0,10,25,29,18,25,75,67,0,13,81,77,0,69,74,70,67,0,17,71,74,88,54"
44,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.8020760579717637,24,30,"74,82,57,44,30,46,0,59,89,40,76,0,21,19,35,78,11,8,79,0,0,11,9,24,46,70,0,39,86,7"
45,21.00400000000002,308.084,287.08,21.00400000000002,6.8176211682528205,0.798065677681905,23,30,"34,10,49,57,1,24,0,0,36,55,57,0,50,66,0,78,27,68,52,45,76,48,38,0,35,22,19,0,0,43"
