episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,4,all-gather-bcast-reorder,0.0,2398.619,0.0,0.0
1,2,88,while-loop-trip-count-annotator,0.0,2398.619,0.0,0.0
1,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,2398.619,0.0,0.0
2,1,88,while-loop-trip-count-annotator,0.0,2398.619,0.0,0.0
2,2,14,bfloat16-fold,0.0,2398.619,0.0,0.0
2,3,40,dynamic-dimension-simplifier,0.0,2398.619,0.0,0.0
3,1,46,fusion_constant_sinking,0.0,2398.619,0.0,0.0
3,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,2398.619,0.0,0.0
3,3,60,logistic-expander,0.0,2398.619,0.0,0.0
