episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,55,host-offloading-prepare-elide-move-to-host,0.0,168.032,0.0,0.0
1,2,64,qr_expander,0.0,168.032,0.0,0.0
1,3,50,hlo-memory-scheduler,0.0,168.032,0.0,0.0
2,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,168.032,0.0,0.0
2,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,168.032,0.0,0.0
2,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,168.032,0.0,0.0
3,1,43,element_type_converter,0.0,168.032,0.0,0.0
3,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,168.032,0.0,0.0
3,3,13,bf16-mixed-precision-removal,0.0,168.032,0.0,0.0
